backend,mode,rps_per_traefik,component,metric,value
victorialogs,cluster,100,vlinsert,cpu_cores_avg,0.006817211538461538
victorialogs,cluster,100,vlselect,cpu_cores_avg,0.0025456243589743587
victorialogs,cluster,100,vlstorage,cpu_cores_avg,0.02874369871794872
victorialogs,cluster,100,vlinsert,mem_ws_max_bytes,21495808
victorialogs,cluster,100,vlselect,mem_ws_max_bytes,36155392
victorialogs,cluster,100,vlstorage,mem_ws_max_bytes,124583936
victorialogs,cluster,100,vlstorage,mem_ws_max_bytes,102461440
victorialogs,cluster,100,vlstorage,mem_ws_max_bytes,119042048
victorialogs,cluster,100,vlinsert,mem_rss_max_bytes,20590592
victorialogs,cluster,100,vlselect,mem_rss_max_bytes,35422208
victorialogs,cluster,100,vlstorage,mem_rss_max_bytes,119791616
victorialogs,cluster,100,vlstorage,mem_rss_max_bytes,99356672
victorialogs,cluster,100,vlstorage,mem_rss_max_bytes,115798016
victorialogs,cluster,100,backend,cpu_cores_avg,0.03810653461538461
victorialogs,cluster,100,backend,mem_ws_max_bytes,396926976
victorialogs,cluster,100,traefik,rps_achieved,200
victorialogs,cluster,100,fluent-bit,records_in,156157
victorialogs,cluster,100,fluent-bit,records_out,156157
victorialogs,cluster,100,fluent-bit,retries,0
victorialogs,cluster,100,fluent-bit,errors,0
victorialogs,cluster,100,192.168.1.63:9100,disk_delta_bytes,-2990080
victorialogs,cluster,100,192.168.1.64:9100,disk_delta_bytes,-3850240
victorialogs,cluster,100,192.168.1.65:9100,disk_delta_bytes,-3178496
victorialogs,cluster,500,vlinsert,cpu_cores_avg,0.021955756410256416
victorialogs,cluster,500,vlselect,cpu_cores_avg,0.0007263358974358975
victorialogs,cluster,500,vlstorage,cpu_cores_avg,0.06579761153846155
victorialogs,cluster,500,vlinsert,mem_ws_max_bytes,42070016
victorialogs,cluster,500,vlselect,mem_ws_max_bytes,13471744
victorialogs,cluster,500,vlstorage,mem_ws_max_bytes,138932224
victorialogs,cluster,500,vlstorage,mem_ws_max_bytes,163086336
victorialogs,cluster,500,vlstorage,mem_ws_max_bytes,153341952
victorialogs,cluster,500,vlinsert,mem_rss_max_bytes,41226240
victorialogs,cluster,500,vlselect,mem_rss_max_bytes,12738560
victorialogs,cluster,500,vlstorage,mem_rss_max_bytes,133738496
victorialogs,cluster,500,vlstorage,mem_rss_max_bytes,158199808
victorialogs,cluster,500,vlstorage,mem_rss_max_bytes,148762624
victorialogs,cluster,500,backend,cpu_cores_avg,0.08847970384615386
victorialogs,cluster,500,backend,mem_ws_max_bytes,485359616
victorialogs,cluster,500,traefik,rps_achieved,1000
